,index
0,2022-03-07 17:01:37.100000
1,2022-03-07 19:28:05.069091
2,2022-03-07 20:08:06.824000
3,2022-03-07 18:37:48.867123
4,2022-03-07 16:36:47.667003
5,2022-03-07 20:24:22.695238
6,2022-03-07 19:53:08.870048
7,2022-03-07 17:54:52.350000
8,2022-03-07 16:26:43.850000
9,2022-03-07 15:07:10.716250
10,2022-03-07 17:27:15.100000
11,2022-03-07 16:54:08.316667
12,2022-03-07 18:17:08.700000
13,2022-03-07 19:04:00.800000
14,2022-03-07 15:46:17.415254
15,2022-03-07 16:15:46.252299
16,2022-03-07 14:54:31.462434
17,2022-03-07 15:27:35.362411
18,2022-03-07 16:05:11.000000
19,2022-03-07 20:20:19.821354
20,2022-03-07 17:20:07.916667
21,2022-03-07 16:43:52.584058
22,2022-03-07 19:29:41.261754
23,2022-03-07 15:22:16.809524
24,2022-03-07 16:55:58.533333
25,2022-03-07 15:01:09.915556
26,2022-03-07 15:44:56.838272
27,2022-03-07 19:55:00.540000
28,2022-03-07 17:34:40.350000
29,2022-03-07 19:50:31.217391
30,2022-03-07 18:14:10.167532
31,2022-03-07 16:12:22.816667
32,2022-03-07 17:55:11.049306
33,2022-03-07 18:36:34.000000
34,2022-03-07 20:08:37.054762
35,2022-03-07 17:47:05.516667
36,2022-03-07 16:11:19.133333
37,2022-03-07 18:57:46.649735
38,2022-03-07 16:36:43.799656
39,2022-03-07 17:27:13.566667
