,index
0,2022-03-10 16:37:00.115278
1,2022-03-10 18:24:32.566667
2,2022-03-10 13:57:01.164356
3,2022-03-10 15:43:02.046474
4,2022-03-10 17:36:27.850000
5,2022-03-10 11:31:05.000000
6,2022-03-10 18:04:20.583333
7,2022-03-10 12:45:00.550000
8,2022-03-10 13:34:27.563866
9,2022-03-10 11:52:59.297436
10,2022-03-10 14:08:24.847674
11,2022-03-10 14:47:35.134359
12,2022-03-10 17:46:58.427715
13,2022-03-10 13:11:51.750397
14,2022-03-10 15:08:08.600000
15,2022-03-10 15:27:17.964539
16,2022-03-10 18:11:10.159916
17,2022-03-10 14:01:38.201533
18,2022-03-10 18:38:13.849225
19,2022-03-10 11:35:42.683333
20,2022-03-10 14:31:46.633333
21,2022-03-10 12:47:52.950000
22,2022-03-10 14:25:16.583333
23,2022-03-10 16:04:06.933333
24,2022-03-10 13:37:48.650725
25,2022-03-10 13:52:52.980476
26,2022-03-10 17:06:58.610784
27,2022-03-10 14:53:20.065462
28,2022-03-10 12:32:55.112500
29,2022-03-10 12:40:18.908974
30,2022-03-10 16:10:01.683333
31,2022-03-10 12:21:53.009040
32,2022-03-10 16:01:51.492063
33,2022-03-10 14:59:18.097717
34,2022-03-10 11:50:27.489954
35,2022-03-10 14:41:59.852778
36,2022-03-10 16:23:02.734199
37,2022-03-10 15:40:53.250901
38,2022-03-10 18:02:05.766667
39,2022-03-10 12:53:15.550000
40,2022-03-10 11:54:52.266667
41,2022-03-10 14:03:43.615812
42,2022-03-10 16:47:18.217045
43,2022-03-10 14:20:03.099517
44,2022-03-10 15:44:42.583333
45,2022-03-10 12:25:15.731282
46,2022-03-10 12:17:15.020098
47,2022-03-10 17:37:25.629469
48,2022-03-10 18:45:13.200000
49,2022-03-10 17:21:18.066667
50,2022-03-10 13:07:02.793889
51,2022-03-10 16:22:26.800000
52,2022-03-10 16:43:35.434127
53,2022-03-10 15:16:31.681624
54,2022-03-10 12:47:47.989524
55,2022-03-10 13:11:47.216667
56,2022-03-10 12:44:57.578758
57,2022-03-10 13:34:33.306667
58,2022-03-10 12:47:50.733333
