,index
0,2022-03-15 16:33:11.906159
1,2022-03-15 14:57:28.066667
2,2022-03-15 17:31:10.280894
3,2022-03-15 18:47:36.066667
4,2022-03-15 15:23:11.126761
5,2022-03-15 17:01:06.746296
6,2022-03-15 17:57:17.865823
7,2022-03-15 16:10:49.082716
8,2022-03-15 19:06:07.895977
9,2022-03-15 15:14:45.400000
10,2022-03-15 17:39:02.081346
11,2022-03-15 16:39:14.816111
12,2022-03-15 16:19:57.857895
13,2022-03-15 14:45:59.866284
14,2022-03-15 14:32:09.633333
15,2022-03-15 15:04:58.033333
16,2022-03-15 16:52:57.216667
17,2022-03-15 16:04:58.456667
18,2022-03-15 15:58:32.156085
19,2022-03-15 18:43:05.166667
20,2022-03-15 18:20:01.550000
21,2022-03-15 16:23:15.024113
22,2022-03-15 17:33:17.466667
23,2022-03-15 17:59:10.883333
24,2022-03-15 17:14:26.234591
25,2022-03-15 17:50:35.766667
26,2022-03-15 15:44:50.104386
27,2022-03-15 18:22:33.649225
28,2022-03-15 16:32:06.859184
29,2022-03-15 17:15:53.361905
30,2022-03-15 14:37:42.331650
31,2022-03-15 14:59:52.166265
32,2022-03-15 15:33:35.232121
33,2022-03-15 15:22:56.724390
34,2022-03-15 16:33:15.288673
35,2022-03-15 18:38:20.753459
