,index
0,2022-03-16 15:24:49.450000
1,2022-03-16 17:23:53.019444
2,2022-03-16 15:46:11.929553
3,2022-03-16 14:17:35.150000
4,2022-03-16 17:40:38.295582
5,2022-03-16 14:51:00.274262
6,2022-03-16 17:50:16.199617
7,2022-03-16 18:17:27.950000
8,2022-03-16 15:04:23.633333
9,2022-03-16 18:46:27.266984
10,2022-03-16 17:36:48.715758
11,2022-03-16 19:00:37.000000
12,2022-03-16 17:11:48.016667
13,2022-03-16 16:04:58.183333
14,2022-03-16 15:09:49.796140
15,2022-03-16 16:35:29.907018
16,2022-03-16 16:14:10.583333
17,2022-03-16 14:44:08.617840
18,2022-03-16 18:07:08.416667
19,2022-03-16 19:12:16.433333
20,2022-03-16 16:42:44.448276
21,2022-03-16 15:52:37.683333
22,2022-03-16 18:43:43.350463
23,2022-03-16 14:14:48.233058
24,2022-03-16 14:38:09.582270
25,2022-03-16 15:27:27.783648
26,2022-03-16 19:03:33.420468
27,2022-03-16 15:17:26.597942
28,2022-03-16 17:29:38.964677
29,2022-03-16 16:12:09.133333
30,2022-03-16 17:48:07.283333
31,2022-03-16 15:34:15.166667
32,2022-03-16 16:33:59.166667
33,2022-03-16 18:23:05.134100
34,2022-03-16 15:45:07.583333
35,2022-03-16 18:45:15.770270
36,2022-03-16 16:53:00.066667
37,2022-03-16 16:25:04.566667
38,2022-03-16 14:56:36.517182
39,2022-03-16 18:00:17.432959
40,2022-03-16 16:58:50.500000
41,2022-03-16 14:50:46.661190
42,2022-03-16 14:30:18.357678
43,2022-03-16 15:53:25.334722
44,2022-03-16 14:51:07.914103
