,class,x,y,w,h,frameNo
2740,5,0.955556,0.454297,0.0888889,0.125781,6583
878,5,0.945833,0.450781,0.108333,0.126563,6584
1333,5,0.935417,0.447656,0.129167,0.125,6585
588,5,0.927778,0.445703,0.144444,0.132031,6586
139,5,0.919444,0.448047,0.161111,0.130469,6587
9388,5,0.910417,0.445312,0.179167,0.134375,6588
9819,5,0.900694,0.446875,0.198611,0.134375,6589
883,5,0.890278,0.444531,0.219444,0.134375,6590
1318,5,0.88125,0.446094,0.234722,0.134375,6591
600,5,0.874306,0.445703,0.251389,0.132031,6592
134,5,0.863194,0.445703,0.270833,0.133594,6593
2026,5,0.856944,0.444531,0.283333,0.129688,6594
1642,5,0.848611,0.444922,0.302778,0.132031,6595
2324,5,0.8375,0.444141,0.316667,0.128906,6596
2745,5,0.830556,0.446094,0.327778,0.129688,6597
9083,5,0.821528,0.444922,0.351389,0.130469,6598
8665,5,0.811806,0.444531,0.373611,0.129688,6599
9651,5,0.809722,0.44375,0.380556,0.129688,6600
9537,5,0.798611,0.444141,0.402778,0.125781,6601
10266,5,0.788889,0.442969,0.422222,0.126563,6602
10393,5,0.781944,0.445312,0.436111,0.129688,6603
8781,5,0.771528,0.44375,0.456944,0.129688,6604
8969,5,0.763194,0.444141,0.473611,0.127344,6605
8246,5,0.75625,0.444141,0.4875,0.128906,6606
8045,5,0.750694,0.446875,0.498611,0.13125,6607
1735,5,0.746528,0.447266,0.506944,0.133594,6608
1932,5,0.741667,0.446875,0.516667,0.129688,6609
8757,5,0.732639,0.447656,0.534722,0.132812,6610
8978,5,0.727083,0.446484,0.545833,0.130469,6611
8240,5,0.720833,0.447266,0.558333,0.132031,6612
8061,5,0.711806,0.448438,0.570833,0.13125,6613
9676,5,0.702083,0.448438,0.590278,0.132812,6614
9527,5,0.688194,0.448828,0.618056,0.130469,6615
10272,5,0.683333,0.448828,0.625,0.130469,6616
10377,5,0.678472,0.447656,0.634722,0.128125,6617
1165,5,0.670833,0.447266,0.658333,0.130469,6618
1047,5,0.665278,0.448828,0.661111,0.125781,6619
1771,5,0.659028,0.448438,0.679167,0.128125,6620
1881,5,0.645833,0.447656,0.697222,0.129688,6621
2608,5,0.628472,0.447656,0.679167,0.126563,6622
2462,5,0.614583,0.447266,0.673611,0.125781,6623
1199,5,0.600694,0.446484,0.673611,0.128906,6624
1013,5,0.590972,0.445312,0.6625,0.126563,6625
257,5,0.571528,0.447266,0.659722,0.127344,6626
476,5,0.558333,0.446484,0.655556,0.125781,6627
9708,5,0.541667,0.447266,0.644444,0.124219,6628
9503,5,0.531944,0.447656,0.636111,0.123438,6629
1204,5,0.520833,0.446484,0.627778,0.122656,6630
993,5,0.514583,0.444922,0.595833,0.121094,6631
279,5,0.492361,0.444922,0.618056,0.119531,6632
468,5,0.486806,0.444922,0.581944,0.119531,6633
1767,5,0.473611,0.444531,0.577778,0.120312,6634
1896,5,0.476389,0.444922,0.555556,0.119531,6635
2586,5,0.515278,0.448438,0.461111,0.120312,6636
