,class,x,y,w,h,frameNo
1248,5,0.608854,0.446296,0.0947917,0.225926,3218
1168,5,0.605208,0.450926,0.104167,0.231481,3219
1568,5,0.601042,0.449074,0.110417,0.231481,3220
1645,5,0.595312,0.449074,0.121875,0.231481,3221
1514,5,0.591667,0.447222,0.129167,0.227778,3222
1432,5,0.586979,0.448148,0.138542,0.237037,3223
1255,5,0.583333,0.448148,0.145833,0.233333,3224
1163,5,0.58125,0.449074,0.152083,0.231481,3225
1296,5,0.575521,0.446296,0.163542,0.22963,3226
1385,5,0.572917,0.443519,0.170833,0.227778,3227
1120,5,0.565104,0.44537,0.182292,0.231481,3228
1027,5,0.560938,0.443519,0.190625,0.231481,3229
1258,5,0.556771,0.446296,0.196875,0.233333,3230
1161,5,0.552604,0.442593,0.207292,0.22963,3231
1297,5,0.547917,0.44537,0.214583,0.231481,3232
1384,5,0.544792,0.443519,0.220833,0.224074,3233
1564,5,0.540104,0.443519,0.236458,0.227778,3234
1647,5,0.536458,0.440741,0.239583,0.225926,3235
1513,5,0.531771,0.441667,0.248958,0.227778,3236
1433,5,0.525521,0.438889,0.257292,0.225926,3237
637,5,0.521354,0.437037,0.263542,0.225926,3238
714,5,0.517187,0.437037,0.276042,0.225926,3239
2031,5,0.511458,0.436111,0.28125,0.224074,3240
2123,5,0.503646,0.437037,0.280208,0.225926,3241
2281,5,0.505729,0.437037,0.301042,0.222222,3242
2191,5,0.497917,0.437963,0.3,0.224074,3243
1962,5,0.498437,0.437963,0.305208,0.224074,3244
1702,5,0.498958,0.437963,0.314583,0.224074,3246
1799,5,0.489583,0.438889,0.2875,0.222222,3247
421,5,0.501042,0.435185,0.347917,0.22963,3248
1863,5,0.429688,0.434259,0.169792,0.216667,3251
1864,5,0.590104,0.453704,0.132292,0.211111,3251
2118,5,0.573438,0.452778,0.165625,0.209259,3255
2282,5,0.546354,0.448148,0.209375,0.214815,3256
2190,5,0.55,0.449074,0.1875,0.216667,3257
181,5,0.491667,0.444444,0.283333,0.214815,3258
327,5,0.474479,0.441667,0.263542,0.216667,3261
483,5,0.474479,0.444444,0.244792,0.214815,3262
1956,5,0.401042,0.442593,0.114583,0.211111,3278
1867,5,0.396354,0.441667,0.105208,0.212963,3279
2198,5,0.392188,0.438889,0.096875,0.211111,3280
2272,5,0.388542,0.437963,0.0895833,0.216667,3281
1791,5,0.375,0.437037,0.0645833,0.214815,3284
1870,5,0.364583,0.436111,0.0458333,0.205556,3286
1677,5,0.371354,0.399074,0.0572917,0.205556,8111
1832,5,0.373958,0.4,0.0625,0.2,8112
1992,5,0.377083,0.402778,0.06875,0.194444,8113
2167,5,0.380729,0.403704,0.0760417,0.192593,8114
2304,5,0.384375,0.410185,0.0833333,0.175926,8115
2151,5,0.3875,0.410185,0.0895833,0.175926,8116
2000,5,0.391146,0.412037,0.0989583,0.17963,8117
10,5,0.394271,0.412963,0.105208,0.181481,8118
142,5,0.396875,0.413889,0.108333,0.187037,8119
601,5,0.402604,0.408333,0.117708,0.190741,8120
459,5,0.40625,0.406481,0.125,0.194444,8121
306,5,0.409375,0.408333,0.13125,0.198148,8122
441,5,0.413542,0.407407,0.139583,0.188889,8123
