,class,x,y,w,h,frameNo
167,5,0.497222,0.375781,0.316667,0.0859375,6760
2788,5,0.247222,0.367969,0.177778,0.0890625,7302
565,5,0.236111,0.366406,0.327778,0.0984375,7308
739,5,0.238889,0.367188,0.344444,0.096875,7309
2387,5,0.248611,0.367188,0.341667,0.096875,7310
2577,5,0.261111,0.367188,0.361111,0.09375,7311
2776,5,0.268056,0.366406,0.347222,0.0984375,7312
2583,5,0.276389,0.366406,0.352778,0.101562,7313
3175,5,0.286111,0.366406,0.355556,0.101562,7314
2991,5,0.302778,0.364844,0.355556,0.101562,7315
2793,5,0.304167,0.364844,0.375,0.104687,7316
2974,5,0.325,0.364062,0.35,0.103125,7317
164,5,0.309722,0.365625,0.408333,0.103125,7318
9,5,0.347222,0.366406,0.377778,0.0984375,7319
574,5,0.330556,0.366406,0.422222,0.101562,7320
731,5,0.331944,0.367188,0.441667,0.103125,7321
559,5,0.3375,0.366406,0.469444,0.101562,7322
384,5,0.35,0.367188,0.455556,0.103125,7323
171,5,0.3375,0.367188,0.480556,0.103125,7324
4,5,0.344444,0.367188,0.494444,0.103125,7325
178,5,0.355556,0.367188,0.505556,0.103125,7326
376,5,0.377778,0.367969,0.477778,0.101562,7327
3179,5,0.398611,0.36875,0.452778,0.103125,7328
2986,5,0.401389,0.367969,0.469444,0.104687,7329
174,5,0.409722,0.36875,0.491667,0.103125,7330
2,5,0.409722,0.369531,0.525,0.101562,7331
181,5,0.420833,0.370313,0.530556,0.103125,7332
371,5,0.425,0.369531,0.544444,0.101562,7333
572,5,0.436111,0.36875,0.538889,0.103125,7334
732,5,0.448611,0.36875,0.541667,0.103125,7335
557,5,0.451389,0.36875,0.552778,0.103125,7336
388,5,0.459722,0.36875,0.558333,0.10625,7337
2393,5,0.475,0.370313,0.572222,0.103125,7338
2570,5,0.484722,0.369531,0.580556,0.101562,7339
1153,5,0.501389,0.370313,0.591667,0.103125,7340
1337,5,0.518056,0.371094,0.586111,0.104687,7341
1544,5,0.522222,0.371875,0.572222,0.10625,7342
1351,5,0.536111,0.371094,0.572222,0.107813,7343
1144,5,0.55,0.371875,0.583333,0.109375,7344
947,5,0.565278,0.371875,0.580556,0.109375,7345
743,5,0.576389,0.374219,0.591667,0.110937,7346
943,5,0.588889,0.374219,0.594444,0.110937,7347
2167,5,0.602778,0.374219,0.583333,0.110937,7348
1962,5,0.620833,0.374219,0.569444,0.110937,7349
1143,5,0.629167,0.373437,0.586111,0.1125,7350
948,5,0.648611,0.374219,0.602778,0.110937,7351
741,5,0.659722,0.375,0.591667,0.1125,7352
944,5,0.673611,0.374219,0.602778,0.114063,7353
1154,5,0.683333,0.374219,0.594444,0.110937,7354
1335,5,0.694444,0.375781,0.594444,0.114063,7355
1547,5,0.7,0.377344,0.588889,0.114063,7356
1350,5,0.705556,0.376563,0.577778,0.109375,7357
1764,5,0.715278,0.377344,0.569444,0.110937,7358
1956,5,0.719444,0.376563,0.561111,0.1125,7359
2165,5,0.733333,0.376563,0.533333,0.109375,7360
1965,5,0.734722,0.375781,0.530556,0.110937,7361
2176,5,0.741667,0.376563,0.511111,0.10625,7362
2379,5,0.745833,0.377344,0.502778,0.104687,7363
1760,5,0.752778,0.378906,0.483333,0.104687,7364
1960,5,0.759722,0.377344,0.469444,0.107813,7365
1756,5,0.765278,0.376563,0.469444,0.10625,7366
1557,5,0.765278,0.376563,0.463889,0.103125,7367
1151,5,0.776389,0.375781,0.447222,0.104687,7368
1338,5,0.784722,0.376563,0.430556,0.10625,7369
1762,5,0.793056,0.375,0.408333,0.109375,7370
1959,5,0.798611,0.375781,0.397222,0.110937,7371
1757,5,0.805556,0.376563,0.383333,0.109375,7372
1554,5,0.815278,0.375781,0.363889,0.110937,7373
2162,5,0.825,0.377344,0.344444,0.110937,7374
1966,5,0.830556,0.376563,0.333333,0.109375,7375
2174,5,0.836111,0.377344,0.322222,0.110937,7376
2383,5,0.844444,0.376563,0.305556,0.1125,7377
1140,5,0.85,0.377344,0.294444,0.110937,7378
950,5,0.856944,0.378125,0.280556,0.1125,7379
1358,5,0.865278,0.378125,0.258333,0.109375,7380
1537,5,0.869444,0.378125,0.25,0.109375,7381
1330,5,0.879167,0.378906,0.236111,0.107813,7382
1161,5,0.8875,0.378906,0.213889,0.110937,7383
936,5,0.893056,0.380469,0.202778,0.110937,7384
750,5,0.902778,0.379687,0.188889,0.109375,7385
954,5,0.909722,0.380469,0.175,0.110937,7386
1137,5,0.915278,0.377344,0.158333,0.104687,7387
2377,5,0.925,0.377344,0.144444,0.104687,7388
2179,5,0.933333,0.378125,0.127778,0.103125,7389
937,5,0.940278,0.378125,0.113889,0.1,7390
749,5,0.947222,0.377344,0.1,0.101562,7391
955,5,0.958333,0.376563,0.0833333,0.096875,7392
1895,5,0.927778,0.382031,0.144444,0.107813,8491
1686,5,0.920833,0.38125,0.152778,0.109375,8492
1620,5,0.913889,0.382812,0.166667,0.109375,8493
2084,5,0.902778,0.382812,0.188889,0.10625,8494
2042,5,0.894444,0.380469,0.2,0.107813,8495
2257,5,0.884722,0.380469,0.219444,0.107813,8496
