,class,x,y,w,h,frameNo
4068,5,0.876389,0.517969,0.241667,0.135937,4514
3655,5,0.870139,0.517187,0.254167,0.132812,4515
4211,5,0.861111,0.516016,0.266667,0.135156,4516
5745,5,0.845139,0.514453,0.298611,0.135156,4518
5320,5,0.838194,0.512891,0.315278,0.135156,4519
5887,5,0.829167,0.5125,0.330556,0.135937,4520
6287,5,0.820833,0.512891,0.347222,0.136719,4521
6844,5,0.8125,0.512109,0.366667,0.138281,4522
6424,5,0.802083,0.5125,0.381944,0.140625,4523
5761,5,0.796528,0.511328,0.395833,0.139844,4524
5301,5,0.788194,0.510156,0.418056,0.139062,4525
4746,5,0.782639,0.509375,0.434722,0.1375,4526
5203,5,0.777083,0.508594,0.445833,0.1375,4527
4096,5,0.768056,0.508203,0.463889,0.138281,4528
3627,5,0.759722,0.507422,0.477778,0.138281,4529
5772,5,0.752778,0.506641,0.494444,0.136719,4530
5284,5,0.745139,0.505078,0.509722,0.133594,4531
4751,5,0.738889,0.504297,0.522222,0.133594,4532
5201,5,0.727778,0.503906,0.544444,0.134375,4533
5875,5,0.720833,0.503125,0.558333,0.13125,4534
6303,5,0.715278,0.503906,0.569444,0.135937,4535
6839,5,0.704861,0.503516,0.590278,0.132031,4536
6426,5,0.700694,0.503516,0.598611,0.132031,4537
3119,5,0.690278,0.502734,0.619444,0.136719,4538
3499,5,0.685417,0.502734,0.626389,0.130469,4539
8842,5,0.670833,0.5,0.647222,0.129688,4540
9347,5,0.663889,0.501562,0.672222,0.129688,4541
8704,5,0.661111,0.499609,0.677778,0.130469,4542
8240,5,0.657639,0.501172,0.684722,0.133594,4543
7501,5,0.641667,0.501172,0.716667,0.132031,4544
6952,5,0.638889,0.500781,0.722222,0.135937,4545
7597,5,0.628472,0.499609,0.726389,0.136719,4546
8110,5,0.611111,0.499219,0.725,0.139062,4547
2426,5,0.604861,0.501172,0.731944,0.136719,4548
1913,5,0.577083,0.496094,0.740278,0.129688,4549
7476,5,0.560417,0.497656,0.723611,0.134375,4550
6964,5,0.547222,0.497656,0.730556,0.132812,4551
7596,5,0.530556,0.500391,0.719444,0.132031,4552
8120,5,0.518056,0.5,0.708333,0.13125,4553
8867,5,0.502778,0.498828,0.708333,0.128906,4554
9335,5,0.481944,0.496094,0.716667,0.129688,4555
8705,5,0.465278,0.497266,0.711111,0.125781,4556
8232,5,0.456944,0.499219,0.711111,0.128125,4557
82,5,0.445833,0.499609,0.694444,0.122656,4558
552,5,0.430556,0.499219,0.691667,0.121875,4559
2407,5,0.382639,0.49375,0.756944,0.128125,4560
1920,5,0.374306,0.49375,0.729167,0.126563,4561
1311,5,0.367361,0.494141,0.726389,0.127344,4562
1771,5,0.353472,0.492969,0.706944,0.129688,4563
59,5,0.343056,0.493359,0.677778,0.128906,4564
570,5,0.335417,0.493359,0.659722,0.128906,4565
1166,5,0.323611,0.492969,0.638889,0.13125,4566
686,5,0.319444,0.491406,0.638889,0.13125,4567
8838,5,0.311806,0.489844,0.615278,0.134375,4568
9365,5,0.302778,0.491406,0.602778,0.126563,4569
62,5,0.294444,0.490234,0.572222,0.130469,4570
558,5,0.286806,0.490625,0.565278,0.13125,4571
1185,5,0.28125,0.490625,0.556944,0.129688,4572
676,5,0.275,0.489844,0.544444,0.13125,4573
2405,5,0.261111,0.488672,0.522222,0.130469,4574
1933,5,0.254861,0.487109,0.509722,0.127344,4575
1294,5,0.253472,0.485547,0.498611,0.125781,4576
1783,5,0.244444,0.485938,0.488889,0.126563,4577
7473,5,0.235417,0.486328,0.468056,0.132031,4578
6979,5,0.23125,0.486328,0.454167,0.132031,4579
8206,5,0.226389,0.485938,0.444444,0.13125,4580
8744,5,0.220833,0.486328,0.436111,0.130469,4581
9391,5,0.213194,0.485938,0.426389,0.128125,4582
8800,5,0.199306,0.486328,0.398611,0.127344,4583
8150,5,0.186806,0.487109,0.373611,0.125781,4584
7557,5,0.182639,0.485938,0.359722,0.128125,4585
6913,5,0.174306,0.485938,0.3375,0.129688,4586
7540,5,0.16875,0.486719,0.326389,0.125,4587
1840,5,0.163194,0.485938,0.318056,0.121875,4588
1232,5,0.15625,0.4875,0.301389,0.121875,4589
8168,5,0.145833,0.4875,0.283333,0.121875,4590
7551,5,0.138889,0.488281,0.275,0.121875,4591
6918,5,0.130556,0.485938,0.255556,0.11875,4592
7526,5,0.125,0.484375,0.244444,0.11875,4593
8190,5,0.117361,0.483984,0.229167,0.117969,4594
8751,5,0.109722,0.482422,0.211111,0.116406,4595
9387,5,0.102083,0.482031,0.198611,0.115625,4596
8815,5,0.09375,0.480859,0.184722,0.116406,4597
661,5,0.0847222,0.481641,0.166667,0.117969,4598
1188,5,0.0791667,0.482031,0.158333,0.117188,4599
1441,5,0.0736111,0.48125,0.147222,0.115625,4600
1643,5,0.0666667,0.482422,0.133333,0.116406,4601
2063,5,0.0534722,0.479688,0.104167,0.120312,4603
6003,5,0.0625,0.4625,0.125,0.0984375,7439
428,5,0.0666667,0.463281,0.133333,0.0984375,7440
213,5,0.0729167,0.464063,0.143056,0.1,7441
832,5,0.0791667,0.464063,0.158333,0.101562,7442
1014,5,0.0854167,0.463281,0.170833,0.103125,7443
2036,5,0.0909722,0.463281,0.181944,0.104687,7444
2288,5,0.0965278,0.463281,0.193056,0.10625,7445
1651,5,0.102778,0.4625,0.205556,0.107813,7446
1434,5,0.111806,0.463672,0.223611,0.108594,7447
7099,5,0.116667,0.463672,0.233333,0.108594,7448
7345,5,0.122917,0.465234,0.245833,0.107031,7449
2052,5,0.127778,0.464844,0.255556,0.104687,7450
2282,5,0.135417,0.465234,0.270833,0.107031,7451
1659,5,0.140278,0.464453,0.280556,0.108594,7452
1415,5,0.150694,0.464844,0.301389,0.1125,7453
416,5,0.155556,0.465234,0.311111,0.110156,7454
216,5,0.1625,0.464844,0.322222,0.109375,7455
825,5,0.165278,0.466016,0.330556,0.108594,7456
1033,5,0.170833,0.466797,0.341667,0.110156,7457
9192,5,0.177778,0.466797,0.355556,0.110156,7458
8998,5,0.184028,0.467578,0.368056,0.111719,7459
7114,5,0.191667,0.467187,0.380556,0.114063,7460
7338,5,0.197222,0.469141,0.394444,0.113281,7461
7945,5,0.203472,0.46875,0.401389,0.114063,7462
7761,5,0.213889,0.468359,0.425,0.111719,7463
9218,5,0.222222,0.466406,0.441667,0.1125,7464
8969,5,0.228472,0.467578,0.451389,0.114844,7465
8368,5,0.234028,0.469531,0.465278,0.1125,7466
8574,5,0.240278,0.469531,0.477778,0.114063,7467
434,5,0.245139,0.470313,0.484722,0.114063,7468
200,5,0.254167,0.470313,0.502778,0.115625,7469
9208,5,0.261111,0.471094,0.519444,0.114063,7470
8992,5,0.267361,0.471484,0.531944,0.114844,7471
8350,5,0.273611,0.471875,0.547222,0.117188,7472
8578,5,0.282639,0.471875,0.5625,0.114063,7473
7125,5,0.29375,0.469141,0.579167,0.113281,7474
7317,5,0.295833,0.473828,0.588889,0.111719,7475
7960,5,0.302778,0.473828,0.594444,0.111719,7476
7756,5,0.318056,0.473828,0.605556,0.113281,7477
2056,5,0.327778,0.476562,0.611111,0.115625,7478
2270,5,0.335417,0.476172,0.620833,0.116406,7479
1057,5,0.365972,0.477344,0.590278,0.117188,7480
795,5,0.388889,0.480078,0.583333,0.117969,7481
169,5,0.398611,0.480859,0.591667,0.117969,7482
468,5,0.414583,0.482422,0.590278,0.119531,7483
1397,5,0.420139,0.482812,0.595833,0.11875,7484
1688,5,0.438194,0.482812,0.601389,0.120312,7485
2327,5,0.450694,0.484375,0.609722,0.120312,7486
1996,5,0.467361,0.484375,0.601389,0.11875,7487
7698,5,0.484722,0.484766,0.597222,0.119531,7488
8016,5,0.502083,0.487891,0.601389,0.122656,7489
1380,5,0.520139,0.488672,0.606944,0.125781,7490
1694,5,0.532639,0.491797,0.615278,0.127344,7491
2318,5,0.546528,0.494141,0.6125,0.133594,7492
2017,5,0.5625,0.492969,0.608333,0.129688,7493
1069,5,0.575694,0.491797,0.604167,0.122656,7494
788,5,0.597222,0.495313,0.608333,0.13125,7495
181,5,0.615278,0.495313,0.619444,0.13125,7496
449,5,0.633333,0.496484,0.616667,0.133594,7497
8602,5,0.640972,0.498828,0.623611,0.141406,7498
8339,5,0.654167,0.497656,0.630556,0.135937,7499
7047,5,0.68125,0.497266,0.623611,0.130469,7500
7395,5,0.690972,0.498047,0.615278,0.132031,7501
8037,5,0.700694,0.498047,0.598611,0.130469,7502
7678,5,0.706944,0.5,0.586111,0.134375,7503
9288,5,0.7125,0.497266,0.575,0.132031,7504
8911,5,0.721528,0.496094,0.556944,0.129688,7505
8280,5,0.727778,0.496875,0.536111,0.13125,7506
8655,5,0.734722,0.498437,0.527778,0.134375,7507
510,5,0.74375,0.498047,0.509722,0.132031,7508
122,5,0.750694,0.500781,0.493056,0.135937,7509
9291,5,0.760417,0.498437,0.479167,0.128125,7510
8900,5,0.775694,0.499609,0.443056,0.127344,7511
8292,5,0.772222,0.498047,0.441667,0.124219,7512
8652,5,0.779861,0.502734,0.426389,0.132031,7513
7045,5,0.7875,0.501172,0.419444,0.128906,7514
7405,5,0.796528,0.501172,0.398611,0.127344,7515
8024,5,0.804167,0.502734,0.377778,0.128906,7516
7681,5,0.813889,0.500391,0.361111,0.125781,7517
1995,5,0.822917,0.499609,0.345833,0.122656,7518
2338,5,0.83125,0.500391,0.326389,0.121094,7519
486,5,0.838889,0.501172,0.308333,0.121094,7520
140,5,0.847222,0.500781,0.291667,0.120312,7521
756,5,0.852778,0.500781,0.283333,0.11875,7522
1107,5,0.863889,0.502344,0.263889,0.117188,7523
1984,5,0.873611,0.503516,0.241667,0.116406,7524
2353,5,0.880556,0.504687,0.227778,0.11875,7525
1729,5,0.890278,0.504297,0.211111,0.121094,7526
1342,5,0.899306,0.509375,0.195833,0.126563,7527
7420,5,0.915278,0.5,0.163889,0.109375,7529
2358,5,0.932639,0.503516,0.129167,0.110156,7531
9166,5,0.921528,0.507812,0.154167,0.134375,7841
8516,5,0.914583,0.50625,0.1625,0.134375,7842
8418,5,0.909028,0.507422,0.173611,0.133594,7843
7304,5,0.902778,0.506641,0.186111,0.135156,7844
7137,5,0.896528,0.511719,0.201389,0.145313,7845
7793,5,0.890972,0.5125,0.2125,0.148438,7846
7927,5,0.883333,0.511328,0.230556,0.147656,7847
2245,5,0.878472,0.510938,0.243056,0.145313,7848
2082,5,0.870833,0.511328,0.255556,0.147656,7849
7302,5,0.864583,0.509766,0.270833,0.147656,7850
7159,5,0.85625,0.509766,0.284722,0.146094,7851
7771,5,0.850694,0.508594,0.293056,0.148438,7852
7932,5,0.845139,0.507422,0.301389,0.147656,7853
9041,5,0.8375,0.507031,0.319444,0.146875,7854
