,class,x,y,w,h,frameNo
2537,5,0.925,0.545313,0.15,0.123438,421
2273,5,0.904861,0.547266,0.190278,0.127344,423
156,5,0.894444,0.544531,0.205556,0.128125,424
640,5,0.884722,0.545313,0.225,0.129688,425
1454,5,0.877083,0.544141,0.240278,0.128906,426
940,5,0.867361,0.54375,0.265278,0.13125,427
10906,5,0.856944,0.542578,0.283333,0.130469,428
11433,5,0.849306,0.541406,0.301389,0.129688,429
149,5,0.836806,0.541406,0.320833,0.129688,430
643,5,0.829167,0.540234,0.333333,0.130469,431
1448,5,0.813889,0.539844,0.366667,0.129688,432
951,5,0.808333,0.539844,0.377778,0.129688,433
3060,5,0.799306,0.537891,0.395833,0.130469,434
2533,5,0.792361,0.537891,0.415278,0.130469,435
1740,5,0.784028,0.537109,0.420833,0.130469,436
2263,5,0.775694,0.536328,0.445833,0.130469,437
9065,5,0.765278,0.535937,0.466667,0.132812,438
8546,5,0.756944,0.536719,0.486111,0.132812,439
5000,5,0.747222,0.536328,0.505556,0.133594,440
4577,5,0.740278,0.538672,0.519444,0.139844,441
5235,5,0.729167,0.539844,0.541667,0.142188,442
5651,5,0.720833,0.538672,0.558333,0.138281,443
3971,5,0.709722,0.539062,0.572222,0.142188,444
4357,5,0.7,0.537891,0.588889,0.139844,445
3701,5,0.69375,0.5375,0.6125,0.139062,446
3325,5,0.684028,0.536719,0.631944,0.135937,447
7252,5,0.674306,0.536719,0.651389,0.134375,448
7633,5,0.666667,0.536328,0.666667,0.135156,449
3974,5,0.660417,0.536719,0.679167,0.135937,450
4342,5,0.650694,0.537109,0.698611,0.135156,451
3722,5,0.641667,0.535156,0.716667,0.135937,452
3316,5,0.63125,0.535547,0.7125,0.135156,453
4997,5,0.605556,0.534375,0.727778,0.134375,454
4590,5,0.591667,0.533984,0.730556,0.132031,455
5214,5,0.577083,0.532812,0.726389,0.13125,456
5661,5,0.552083,0.533594,0.720833,0.13125,457
7010,5,0.534722,0.532812,0.719444,0.13125,458
6558,5,0.515278,0.532031,0.708333,0.13125,459
7220,5,0.498611,0.530859,0.702778,0.130469,460
7656,5,0.485417,0.530078,0.706944,0.130469,461
8308,5,0.461111,0.530859,0.697222,0.127344,462
7888,5,0.442361,0.530078,0.698611,0.128906,463
7000,5,0.428472,0.528516,0.684722,0.128906,464
6572,5,0.413889,0.528516,0.677778,0.128906,465
5910,5,0.380556,0.529688,0.716667,0.126563,466
6310,5,0.357639,0.528125,0.704167,0.125,467
4977,5,0.346528,0.528516,0.693056,0.124219,468
4609,5,0.335417,0.526563,0.670833,0.125,469
6981,5,0.327083,0.527344,0.654167,0.121875,470
6579,5,0.319444,0.526172,0.636111,0.119531,471
5907,5,0.311111,0.524219,0.622222,0.121875,472
6321,5,0.302778,0.523438,0.605556,0.123438,473
7240,5,0.297917,0.525,0.584722,0.125,474
7648,5,0.286111,0.525,0.563889,0.125,475
8310,5,0.279167,0.524609,0.547222,0.124219,476
7875,5,0.270139,0.524609,0.534722,0.125781,477
3946,5,0.259722,0.523828,0.513889,0.127344,478
4376,5,0.25,0.523047,0.491667,0.127344,479
5623,5,0.239583,0.523047,0.470833,0.125781,480
5262,5,0.230556,0.520703,0.461111,0.122656,481
4611,5,0.225,0.521484,0.45,0.124219,482
4971,5,0.218056,0.519531,0.436111,0.125,483
3359,5,0.206944,0.520703,0.413889,0.124219,484
3673,5,0.200694,0.519922,0.401389,0.122656,485
4315,5,0.192361,0.521484,0.384722,0.121094,486
4007,5,0.184722,0.521484,0.369444,0.121094,487
7932,5,0.175,0.522266,0.35,0.122656,488
8252,5,0.165972,0.520703,0.331944,0.117969,489
3358,5,0.161111,0.520703,0.322222,0.119531,490
3679,5,0.152778,0.51875,0.3,0.117188,491
4304,5,0.143056,0.520312,0.280556,0.117188,492
4015,5,0.135417,0.517969,0.270833,0.117188,493
5625,5,0.125,0.51875,0.25,0.117188,494
5254,5,0.118056,0.517969,0.233333,0.11875,495
4624,5,0.1125,0.517969,0.216667,0.117188,496
4961,5,0.102083,0.516797,0.204167,0.116406,497
6291,5,0.0951389,0.515625,0.190278,0.115625,498
5928,5,0.0868056,0.515625,0.170833,0.114063,499
7312,5,0.0805556,0.515625,0.158333,0.115625,500
7572,5,0.0701389,0.516016,0.140278,0.111719,501
8233,5,0.0631944,0.515234,0.126389,0.113281,502
7952,5,0.0548611,0.516406,0.109722,0.1125,503
6902,5,0.0340278,0.513672,0.0680556,0.114844,504
6650,5,0.0340278,0.513281,0.0680556,0.110937,505
5980,5,0.0305556,0.507812,0.0583333,0.110937,506
4880,5,0.913889,0.523438,0.172222,0.175,6130
4707,5,0.9,0.524609,0.2,0.182031,6131
5340,5,0.886806,0.525781,0.226389,0.18125,6132
5538,5,0.872917,0.525391,0.254167,0.180469,6133
4055,5,0.859028,0.525,0.279167,0.176563,6134
4259,5,0.847222,0.524609,0.3,0.178906,6135
3638,5,0.835417,0.523828,0.320833,0.175781,6136
3404,5,0.825694,0.523828,0.348611,0.178906,6137
7321,5,0.810417,0.522656,0.376389,0.175,6138
7550,5,0.802083,0.522266,0.390278,0.174219,6139
255,5,0.790972,0.521094,0.418056,0.173438,6140
544,5,0.782639,0.521875,0.434722,0.175,6141
1347,5,0.765972,0.520703,0.468056,0.175781,6142
1040,5,0.756944,0.519922,0.486111,0.177344,6143
2917,5,0.738194,0.516797,0.506944,0.180469,6144
2667,5,0.723611,0.51875,0.541667,0.1875,6145
1865,5,0.71875,0.519922,0.559722,0.183594,6146
2149,5,0.704861,0.519141,0.584722,0.189844,6147
8932,5,0.693056,0.517969,0.591667,0.189063,6148
8669,5,0.683333,0.516797,0.627778,0.192969,6149
2936,5,0.668056,0.513281,0.663889,0.190625,6150
2663,5,0.6625,0.512891,0.675,0.194531,6151
1869,5,0.651389,0.512891,0.697222,0.192969,6152
2126,5,0.634722,0.512109,0.730556,0.194531,6153
235,5,0.627083,0.510547,0.745833,0.191406,6154
548,5,0.614583,0.513281,0.770833,0.189063,6155
1343,5,0.603472,0.509375,0.784722,0.192188,6156
